,composition,pretty_composition,parent_guess,materials_project_id,tc,debyet,elecspecheat,unit_elecspecheat,neelt,a1,a2,b1,b2,c1,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,i1,i2,o1,o2,o_empirical,lata,latb,latc,unit_lat
12889,La1.8Ba0.2Cu1O4,Ba0.2La1.8Cu1O4,La2CuO4,mp-19735,23.4,,,,,La,1.8,Ba,0.2,1.0,,,,,,,,,,,,,O,4,,,,,
12890,La1.88Sr0.12Cu1O4,Sr0.12La1.88Cu1O4,La2CuO4,mp-19735,29.4,,,,,La,1.88,Sr,0.12,1.0,,,,,,,,,,,,,O,4,,,,,
12891,La1.88Sr0.12Cu1O4,Sr0.12La1.88Cu1O4,La2CuO4,mp-19735,29.1,,,,,La,1.88,Sr,0.12,1.0,,,,,,,,,,,,,O,4,,3.7813,,,A
12892,La1.87Sr0.13Cu1O4,Sr0.13La1.87Cu1O4,La2CuO4,mp-19735,34.4,,,,,La,1.87,Sr,0.13,1.0,,,,,,,,,,,,,O,4,,,,,
12893,La1.86Sr0.14Cu1O4,Sr0.14La1.86Cu1O4,La2CuO4,mp-19735,36.9,,,,,La,1.86,Sr,0.14,1.0,,,,,,,,,,,,,O,4,,,,,
12894,Nd1.85Ce0.15Cu1O4,Ce0.15Nd1.85Cu1O4,Nd2CuO4,mp-4158,24.5,,,,,Nd,1.85,Ce,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12895,La1.875Ca0.125Cu1O4,Ca0.125La1.875Cu1O4,La2CuO4,mp-19735,21.7,,,,,La,1.875,Ca,0.125,1.0,,,,,,,,,,,,,O,4,,,,,
12896,La1.84Sr0.05Ca0.11Cu1O4,Sr0.05Ca0.11La1.84Cu1O4,La2CuO4,mp-19735,33.2,,,,,La,1.84,Sr,0.05,0.11,Cu,1.0,,,,,,,,,,,O,4,,,,,
12897,La1.925Ca0.075Cu1O4,Ca0.075La1.925Cu1O4,La2CuO4,mp-19735,9.2,,,,,La,1.925,Ca,0.075,1.0,,,,,,,,,,,,,O,4,,,,,
12898,La1.912Ca0.0875Cu1O4,Ca0.0875La1.912Cu1O4,La2CuO4,mp-19735,16.0,,,,,La,1.912,Ca,0.0875,1.0,,,,,,,,,,,,,O,4,,,,,
12899,La1.9Ca0.1Cu1O4,Ca0.1La1.9Cu1O4,La2CuO4,mp-19735,19.5,,,,,La,1.9,Ca,0.1,1.0,,,,,,,,,,,,,O,4,,,,,
12900,La1.9Ca0.1Cu1O4,Ca0.1La1.9Cu1O4,La2CuO4,mp-19735,19.5,,,,,La,1.9,Ca,0.1,1.0,,,,,,,,,,,,,O,4,,,,,
12901,La1.9Ca0.1Cu1O4,Ca0.1La1.9Cu1O4,La2CuO4,mp-19735,19.5,,,,,La,1.9,Ca,0.1,1.0,,,,,,,,,,,,,O,4,,,,,
12902,La1.9Ca0.1Cu1O4,Ca0.1La1.9Cu1O4,La2CuO4,mp-19735,19.5,,,,,La,1.9,Ca,0.1,1.0,,,,,,,,,,,,,O,4,,,,,
12903,La1.887Ca0.1125Cu1O4,Ca0.1125La1.887Cu1O4,La2CuO4,mp-19735,20.1,,,,,La,1.887,Ca,0.1125,1.0,,,,,,,,,,,,,O,4,,,,,
12913,La1.9Ca0.1Cu1O4,Ca0.1La1.9Cu1O4,La2CuO4,mp-19735,20.0,,,,,La,1.9,Ca,0.1,1.0,,,,,,,,,,,,,O,4,,,,,
12914,La1.92Ca0.08Cu1O4,Ca0.08La1.92Cu1O4,La2CuO4,mp-19735,14.0,,,,,La,1.92,Ca,0.08,1.0,,,,,,,,,,,,,O,4,,,,,
12915,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,37.43,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12916,La1.85Sr0.15Cu0.995Ni0.005O4,Sr0.15La1.85Cu0.995Ni0.005O4,La2CuO4,mp-19735,34.41,,,,,La,1.85,Sr,0.15,0.995,Ni,0.005,,,,,,,,,,,O,4,,,,,
12917,La1.85Sr0.15Cu0.99Ni0.01O4,Sr0.15La1.85Cu0.99Ni0.01O4,La2CuO4,mp-19735,30.0,,,,,La,1.85,Sr,0.15,0.99,Ni,0.01,,,,,,,,,,,O,4,,,,,
12918,La1.85Sr0.15Cu0.985Ni0.015O4,Sr0.15La1.85Cu0.985Ni0.015O4,La2CuO4,mp-19735,25.9,,,,,La,1.85,Sr,0.15,0.985,Ni,0.015,,,,,,,,,,,O,4,,,,,
12920,La1.85Sr0.15Cu0.975Ni0.025O4,Sr0.15La1.85Cu0.975Ni0.025O4,La2CuO4,mp-19735,16.6,,,,,La,1.85,Sr,0.15,0.975,Ni,0.025,,,,,,,,,,,O,4,,,,,
12921,La1.85Sr0.15Cu0.97Ni0.03O4,Sr0.15La1.85Cu0.97Ni0.03O4,La2CuO4,mp-19735,12.7,,,,,La,1.85,Sr,0.15,0.97,Ni,0.03,,,,,,,,,,,O,4,,,,,
12922,La1.85Sr0.15Cu0.996Zn0.004O4,Sr0.15La1.85Zn0.004Cu0.996O4,La2CuO4,mp-19735,32.7,,,,,La,1.85,Sr,0.15,0.996,Zn,0.004,,,,,,,,,,,O,4,,,,,
12923,La1.85Sr0.15Cu0.992Zn0.008O4,Sr0.15La1.85Zn0.008Cu0.992O4,La2CuO4,mp-19735,28.5,,,,,La,1.85,Sr,0.15,0.992,Zn,0.008,,,,,,,,,,,O,4,,,,,
12924,La1.85Sr0.15Cu0.988Zn0.012O4,Sr0.15La1.85Zn0.012Cu0.988O4,La2CuO4,mp-19735,23.7,,,,,La,1.85,Sr,0.15,0.988,Zn,0.012,,,,,,,,,,,O,4,,,,,
12925,La1.85Sr0.15Cu0.984Zn0.016O4,Sr0.15La1.85Zn0.016Cu0.984O4,La2CuO4,mp-19735,19.0,,,,,La,1.85,Sr,0.15,0.984,Zn,0.016,,,,,,,,,,,O,4,,,,,
12926,La1.85Sr0.15Cu0.978Zn0.022O4,Sr0.15La1.85Zn0.022Cu0.978O4,La2CuO4,mp-19735,13.6,,,,,La,1.85,Sr,0.15,0.978,Zn,0.022,,,,,,,,,,,O,4,,,,,
12927,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,37.5,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12928,La1.85Sr0.15Cu0.997Fe0.003O4,Sr0.15La1.85Fe0.003Cu0.997O4,La2CuO4,mp-19735,33.6,,,,,La,1.85,Sr,0.15,0.997,Fe,0.003,,,,,,,,,,,O,4,,,,,
12929,La1.85Sr0.15Cu0.995Fe0.005O4,Sr0.15La1.85Fe0.005Cu0.995O4,La2CuO4,mp-19735,30.82,,,,,La,1.85,Sr,0.15,0.995,Fe,0.005,,,,,,,,,,,O,4,,,,,
12930,La1.85Sr0.15Cu0.993Fe0.007O4,Sr0.15La1.85Fe0.007Cu0.993O4,La2CuO4,mp-19735,26.25,,,,,La,1.85,Sr,0.15,0.993,Fe,0.007,,,,,,,,,,,O,4,,,,,
12931,La1.85Sr0.15Cu0.992Fe0.008O4,Sr0.15La1.85Fe0.008Cu0.992O4,La2CuO4,mp-19735,24.73,,,,,La,1.85,Sr,0.15,0.992,Fe,0.008,,,,,,,,,,,O,4,,,,,
12932,La1.85Sr0.15Cu0.991Fe0.009O4,Sr0.15La1.85Fe0.009Cu0.991O4,La2CuO4,mp-19735,19.85,,,,,La,1.85,Sr,0.15,0.991,Fe,0.009,,,,,,,,,,,O,4,,,,,
12933,La1.85Sr0.15Cu0.99Fe0.01O4,Sr0.15La1.85Fe0.01Cu0.99O4,La2CuO4,mp-19735,17.7,,,,,La,1.85,Sr,0.15,0.99,Fe,0.01,,,,,,,,,,,O,4,,,,,
12934,La1.85Ca0.15Cu1O4,Ca0.15La1.85Cu1O4,La2CuO4,mp-19735,22.1,,,,,La,1.85,Ca,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12935,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,38.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12936,La1.85Sr0.15Cu0.9975Co0.0025O4,Sr0.15La1.85Co0.0025Cu0.9975O4,La2CuO4,mp-19735,34.8,,,,,La,1.85,Sr,0.15,0.9975,Co,0.0025,,,,,,,,,,,O,4,,,,,
12937,La1.85Sr0.15Cu0.995Co0.005O4,Sr0.15La1.85Co0.005Cu0.995O4,La2CuO4,mp-19735,33.0,,,,,La,1.85,Sr,0.15,0.995,Co,0.005,,,,,,,,,,,O,4,,,,,
12938,La1.85Sr0.15Cu0.9925Co0.0075O4,Sr0.15La1.85Co0.0075Cu0.9925O4,La2CuO4,mp-19735,30.6,,,,,La,1.85,Sr,0.15,0.9925,Co,0.0075,,,,,,,,,,,O,4,,,,,
12939,La1.85Sr0.15Cu0.99Co0.01O4,Sr0.15La1.85Co0.01Cu0.99O4,La2CuO4,mp-19735,25.2,,,,,La,1.85,Sr,0.15,0.99,Co,0.01,,,,,,,,,,,O,4,,,,,
12940,La1.85Sr0.15Cu0.9875Co0.0125O4,Sr0.15La1.85Co0.0125Cu0.9875O4,La2CuO4,mp-19735,22.9,,,,,La,1.85,Sr,0.15,0.9875,Co,0.0125,,,,,,,,,,,O,4,,,,,
12941,La1.85Sr0.15Cu0.985Co0.015O4,Sr0.15La1.85Co0.015Cu0.985O4,La2CuO4,mp-19735,13.5,,,,,La,1.85,Sr,0.15,0.985,Co,0.015,,,,,,,,,,,O,4,,,,,
12942,La1.85Sr0.15Cu0.9825Co0.0175O4,Sr0.15La1.85Co0.0175Cu0.9825O4,La2CuO4,mp-19735,13.2,,,,,La,1.85,Sr,0.15,0.9825,Co,0.0175,,,,,,,,,,,O,4,,,,,
12943,Nd1Fe1As1O0.6,Nd1Fe1As1O0.6,NdFeAsO,mp-622621,53.0,,,,,Nd,1.0,Fe,1.0,1.0,,,,,,,,,,,,,O,0.6,,3.943,,,A
12946,Pr1Fe1As1O0.6,Pr1Fe1As1O0.6,PrFeAsO,mp-22491,44.0,,,,,Pr,1.0,Fe,1.0,1.0,,,,,,,,,,,,,O,0.6,,,,,
12953,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,92.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
12954,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,92.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
12955,Bi2Sr2Ca1Cu2O8,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,75.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8,,,,,
12960,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,89.9,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
12961,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,89.7,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
12962,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,91.95,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
12980,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,35.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12981,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,37.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12982,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,34.5,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12983,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,37.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12984,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,37.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
12986,Ba0.55K0.45Fe2As2,K0.45Ba0.55Fe2As2,Ba(FeAs)2,mp-568961,29.4,,,,,Ba,0.55,K,0.45,2.0,As,2.0,,,,,,,,,,,,,,,,,
12990,Ba1Fe2As2,Ba(FeAs)2,Ba(FeAs)2,mp-568961,29.0,,,,,Ba,1.0,Fe,2.0,2.0,,,,,,,,,,,,,,,,,,,
12991,Sr1Fe2As2,Sr(FeAs)2,Sr(FeAs)2,mp-4488,27.0,,,,,Sr,1.0,Fe,2.0,2.0,,,,,,,,,,,,,,,,,,,
12992,Sr1Fe2As2,Sr(FeAs)2,Sr(FeAs)2,mp-4488,27.0,,,,,Sr,1.0,Fe,2.0,2.0,,,,,,,,,,,,,,,,,,,
12994,Tb0.9Th0.1Fe1As1O1,Tb0.9Th0.1Fe1As1O1,TbFeAsO,mp-1079887,45.0,,,,,Tb,0.9,Th,0.1,1.0,As,1.0,,,,,,,,,,,O,1,,3.8998,,,A
12995,Tb0.8Th0.2Fe1As1O1,Tb0.8Th0.2Fe1As1O1,TbFeAsO,mp-1079887,52.0,,,,,Tb,0.8,Th,0.2,1.0,As,1.0,,,,,,,,,,,O,1,,3.9025,,,A
12996,B12Lu1,LuB12,LuB12,mp-1104289,0.42,,0.26,mJ/mol.K2,,B,12.0,Lu,1.0,,,,,,,,,,,,,,,,,,,,
12997,Nd1Fe1As1F0.18O0.82,Nd1Fe1As1O0.82F0.18,NdFeAsO,mp-622621,50.0,,,,,Nd,1.0,Fe,1.0,1.0,F,0.18,,,,,,,,,,,O,0.82,,,,,
12998,B12Lu1,LuB12,LuB12,mp-1104289,0.44,,,,,B,12.0,Lu,1.0,,,,,,,,,,,,,,,,,,,,
13000,B12Lu1,LuB12,LuB12,mp-1104289,0.4,1100.0,4.0,mJ/mol.K2,,B,12.0,Lu,1.0,,,,,,,,,,,,,,,,,,,,
13001,B6Y1,YB6,YB6,mp-2203,6.0,,,,,B,6.0,Y,1.0,,,,,,,,,,,,,,,,,,,,
13002,Y0.6La0.4B6,La0.4Y0.6B6,YB6,mp-2203,4.4,,,,,Y,0.6,La,0.4,6.0,,,,,,,,,,,,,,,,,,,
13003,Y0.9Fe0.1B6,Y0.9Fe0.1B6,YB6,mp-2203,3.3,,,,,Y,0.9,Fe,0.1,6.0,,,,,,,,,,,,,,,,,,,
13004,Y0.95Ce0.05B6,Ce0.05Y0.95B6,YB6,mp-2203,1.6,,,,,Y,0.95,Ce,0.05,6.0,,,,,,,,,,,,,,,,,,,
13005,Y0.5La0.5B6,La0.5Y0.5B6,YB6,mp-2203,1.6,,,,,Y,0.5,La,0.5,6.0,,,,,,,,,,,,,,,,,,,
13006,Bi2Sr2Ca1Cu1.2Li0.8Oz,Sr2Li0.8Ca1Cu1.2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,89.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,1.2,Li,0.8,,,,,,,,,O,z,,,,,
13007,Bi2Sr2Ca1Cu2Oz,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,82.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,z,,,,,
13009,Bi2Sr2Ca1Cu1.2Li0.8Oz,Sr2Li0.8Ca1Cu1.2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,82.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,1.2,Li,0.8,,,,,,,,,O,z,,,,,
13011,Bi2Sr2Ca1Cu1.2Li0.8Oz,Sr2Li0.8Ca1Cu1.2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,80.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,1.2,Li,0.8,,,,,,,,,O,z,,,,,
13012,Bi2Sr2Ca1Cu2Oz,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,40.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,z,,,,,
13013,Bi2Sr2Ca1Cu1.2Li0.8Oz,Sr2Li0.8Ca1Cu1.2Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,74.2,,,,,Bi,2.0,Sr,2.0,1.0,Cu,1.2,Li,0.8,,,,,,,,,O,z,,,,,
13025,Bi2Sr2Ca1Cu2O8,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,89.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8,,,,,
13026,Bi2Sr2Ca1Cu2O8,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,86.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8,,,,,
13027,Bi2Sr2Ca1Cu2O8,Sr2CaCu2(BiO4)2,Sr2CaCu2(BiO4)2,mp-555855,82.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,8,,,,,
13028,Y1Ba2Cu3Oz,Ba2YCu3O7,Ba2YCu3O7,mp-20674,88.4,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,z,,,,,
13029,Y1Ba2Cu3Oz,Ba2YCu3O7,Ba2YCu3O7,mp-20674,89.5,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,z,,,,,
13030,Y1Ba2Cu3Oz,Ba2YCu3O7,Ba2YCu3O7,mp-20674,91.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,z,,,,,
13035,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,86.6,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13036,Lu1Ba2Cu3O7,Ba2LuCu3O7,Ba2LuCu3O7,mp-20324,87.0,,,,,Lu,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13037,Lu1Ba2Cu3O7,Ba2LuCu3O7,Ba2LuCu3O7,mp-20324,87.0,,,,,Lu,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13038,Lu1Ba2Cu3O7,Ba2LuCu3O7,Ba2LuCu3O7,mp-20324,87.0,,,,,Lu,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13039,Lu1Ba2Cu3O7,Ba2LuCu3O7,Ba2LuCu3O7,mp-20324,85.0,,,,,Lu,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13040,Lu1Ba2Cu3O7,Ba2LuCu3O7,Ba2LuCu3O7,mp-20324,86.0,,,,,Lu,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13041,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,86.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13042,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,80.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13044,Nd1.86Ce0.14Cu1O4-z,Ce0.14Nd1.86Cu1O4,Nd2CuO4,mp-4158,22.0,,,,,Nd,1.86,Ce,0.14,1.0,,,,,,,,,,,,,O,4-z,,,,,
13045,Nd1.85Ce0.15Cu1O4-z,Ce0.15Nd1.85Cu1O4,Nd2CuO4,mp-4158,23.0,,,,,Nd,1.85,Ce,0.15,1.0,,,,,,,,,,,,,O,4-z,,,,,
13046,Nd1.83Ce0.17Cu1O4-z,Ce0.17Nd1.83Cu1O4,Nd2CuO4,mp-4158,14.0,,,,,Nd,1.83,Ce,0.17,1.0,,,,,,,,,,,,,O,4-z,,,,,
13047,Nd1.82Ce0.18Cu1O4-z,Ce0.18Nd1.82Cu1O4,Nd2CuO4,mp-4158,9.0,,,,,Nd,1.82,Ce,0.18,1.0,,,,,,,,,,,,,O,4-z,,,,,
13049,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,89.4,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13050,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,92.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13051,La2Cu1O4.03,La2Cu1O4.03,La2CuO4,mp-19735,25.8,,,,,La,2.0,Cu,1.0,,,,,,,,,,,,,,O,4+z,4.03,,,,
13052,La2Cu1O4.04,La2Cu1O4.04,La2CuO4,mp-19735,28.0,,,,,La,2.0,Cu,1.0,,,,,,,,,,,,,,O,4+z,4.04,,,,
13054,Gd1Ba2Cu3O7-z,Ba2GdCu3O7,Ba2GdCu3O7,mp-19813,92.65,,,,,Gd,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,3.842,3.896,3.896,
13055,Gd1.1Ba1.9Cu3O7-z,Ba1.9Gd1.1Cu3O7,Ba2GdCu3O7,mp-19813,80.6,,,,,Gd,1.1,Ba,1.9,3.0,,,,,,,,,,,,,O,7-z,,3.85,3.89,3.89,
13056,Gd0.8Ba1.8Cu3O7-z,Ba1.8Gd0.8Cu3O7,Ba2GdCu3O7,mp-19813,48.55,,,,,Gd,0.8,Ba,1.8,3.0,,,,,,,,,,,,,O,7-z,,3.878,,,
13112,Hg1Sr2La0.5Ca0.5Cu2O6+z,Sr2Ca0.5La0.5Cu2Hg1O6,Sr2LaCu2HgO6,mp-1208803,54.0,,,,,Hg,1.0,Sr,2.0,0.5,Ca,0.5,Cu,2.0,,,,,,,,,O,6+z,,3.395,,,A
13114,Hg1Sr2La1Cu2O6+z,Sr2LaCu2HgO6,Sr2LaCu2HgO6,mp-1208803,28.0,,,,,Hg,1.0,Sr,2.0,1.0,Cu,2.0,,,,,,,,,,,O,6+z,,3.834,,,A
13115,Hg1Sr2La0.5Ca0.5Cu2O6+z,Sr2Ca0.5La0.5Cu2Hg1O6,Sr2LaCu2HgO6,mp-1208803,51.0,,,,,Hg,1.0,Sr,2.0,0.5,Ca,0.5,Cu,2.0,,,,,,,,,O,6+z,,3.884,,,A
13135,Y0.19Ba1.99Cu2.85O7-z,Ba1.99Y0.19Cu2.85O7,Ba2YCu3O7,mp-20674,94.5,,,,,Y,0.19,Ba,1.99,2.85,,,,,,,,,,,,,O,7-z,,,,,A
13139,Hg0.8Mn0.2Ba2Cu1O4.2,Ba2Mn0.2Cu1Hg0.8O4.2,Ba2CuHgO4,mp-6562,91.0,,,,,Hg,0.8,Mn,0.2,2.0,Cu,1.0,,,,,,,,,,,O,4+z,4.2,3.89,,,
13140,Hg0.8Nd0.2Ba2Cu1O4.3,Ba2Nd0.2Cu1Hg0.8O4.3,Ba2CuHgO4,mp-6562,77.0,,,,,Hg,0.8,Nd,0.2,2.0,Cu,1.0,,,,,,,,,,,O,4+z,4.3,3.885,,,
13141,Hg0.8Mn0.2Ba2Ca1Cu2O6.2,Ba2Ca1Mn0.2Cu2Hg0.8O6.2,Ba2CaCu2HgO6,mp-6879,114.0,,,,,Hg,0.8,Mn,0.2,2.0,Ca,1.0,Cu,2.0,,,,,,,,,O,6+z,6.2,3.869,,,
13142,Hg0.8Ge0.2Ba2Ca1Cu2O6.2,Ba2Ca1Cu2Hg0.8Ge0.2O6.2,Ba2CaCu2HgO6,mp-6879,124.0,,,,,Hg,0.8,Ge,0.2,2.0,Ca,1.0,Cu,2.0,,,,,,,,,O,6+z,6.2,3.857,,,
13143,Hg0.8Nd0.2Ba2Ca2Cu3O8.3,Ba2Ca2Nd0.2Cu3Hg0.8O8.3,Ba2Ca2Cu3HgO8,mp-22601,128.0,,,,,Hg,0.8,Nd,0.2,2.0,Ca,2.0,Cu,3.0,,,,,,,,,O,8+z,8.3,3.852,,,
13144,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,88.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
13145,Y1Sr2Cu2.8Al0.1Mo0.1O6+z,Sr2Y1Al0.1Cu2.8Mo0.1O6,Sr2YCu3O7,mvc-270,18.0,,,,,Y,1.0,Sr,2.0,2.8,Al,0.1,Mo,0.1,,,,,,,,,O,6+z,,3.802,,,
13146,Y1Sr2Cu2.8Al0.1W0.1O6+z,Sr2Y1Al0.1Cu2.8W0.1O6,Sr2YCu3O7,mvc-270,17.0,,,,,Y,1.0,Sr,2.0,2.8,Al,0.1,W,0.1,,,,,,,,,O,6+z,,3.802,,,
13147,Y1Sr2Cu2.8Mo0.1W0.1O6+z,Sr2Y1Cu2.8Mo0.1W0.1O6,Sr2YCu3O7,mvc-270,32.0,,,,,Y,1.0,Sr,2.0,2.8,Mo,0.1,W,0.1,,,,,,,,,O,6+z,,3.805,,,
13148,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13149,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,89.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13150,Y1Ba2Cu3O7,Ba2YCu3O7,Ba2YCu3O7,mp-20674,82.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7,,,,,
13153,Y1Ba2Cu3O7-z,Ba2YCu3O7,Ba2YCu3O7,mp-20674,92.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,7-z,,,,,
13154,Y0.9Eu0.1Ba2Cu3O7-z,Ba2Eu0.1Y0.9Cu3O7,Ba2YCu3O7,mp-20674,92.0,,,,,Y,0.9,Eu,0.1,2.0,Cu,3.0,,,,,,,,,,,O,7-z,,,,,
13162,Bi2Sr2Ca1Cu2.3O8+z,Sr2Ca1Cu2.3Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,60.0,,,,,Bi,2.0,Sr,2.0,1.0,Cu,2.3,,,,,,,,,,,O,8+z,,5.39,5.34,5.34,
13163,Bi2Sr2Ca1.2Cu3.22O8,Sr2Ca1.2Cu3.22Bi2O8,Sr2CaCu2(BiO4)2,mp-555855,70.0,,,,,Bi,2.0,Sr,2.0,1.2,Cu,3.22,,,,,,,,,,,O,8,,,,,
13164,Bi2.13Sr1.21Ca1.32Cu2.22O8+z,Sr1.21Ca1.32Cu2.22Bi2.13O8,Sr2CaCu2(BiO4)2,mp-555855,90.0,,,,,Bi,2.13,Sr,1.21,1.32,Cu,2.22,,,,,,,,,,,O,8+z,,,,,
13166,Bi1.99Sr1.52Ca1.34Cu1.86Pb0.15O8+z,Sr1.52Ca1.34Cu1.86Bi1.99Pb0.15O8,Sr2CaCu2(BiO4)2,mp-555855,60.0,,,,,Bi,1.99,Sr,1.52,1.34,Cu,1.86,Pb,0.15,,,,,,,,,O,8+z,,,,,
13186,Y1Ba2Cu2.75Co0.25O7.06,Ba2Y1Co0.25Cu2.75O7.06,Ba2YCu3O7,mp-20674,66.2,,,,,Y,1.0,Ba,2.0,2.75,Co,0.25,,,,,,,,,,,O,7+z,7.06,,,,
13187,Y0.95Ca0.05Ba2Cu2.75Co0.25O7.06,Ba2Ca0.05Y0.95Co0.25Cu2.75O7.06,Ba2YCu3O7,mp-20674,75.1,,,,,Y,0.95,Ca,0.05,2.0,Cu,2.75,Co,0.25,,,,,,,,,O,7+z,7.06,,,,
